"Income - Seasonally Adjusted (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","",""
"","Sales and Other Income","All rates","Regulatory income (includes petrol tax)","Government Grants and Subsidies","Interest Revenue","Dividends","Investment Income","Total Operating Income"
"2016Q3",388228,1378731,154044,295122,47532,80906,123368,2364899
"2016Q4",367405,1380033,155042,287025,45178,85317,131406,2293075
"2017Q1",408072,1383449,156210,293603,48952,63218,110840,2428619
"2017Q2",418180,1389517,155811,281751,50355,185134,240966,2413367
"2017Q3",398820,1443678,157405,303626,59690,42894,97104,2427453
"2017Q4",406690,1456220,157901,300902,54184,129895,184518,2474665
"2018Q1",407799,1456222,160854,305544,49177,19594,67525,2477999
"2018Q2",407330,1459208,172954,320242,54503,243048,303263,2581974
"2018Q3",426442,1535757,186052,319590,58436,86498,140042,2641045
"2018Q4",425976,1547214,213265,329449,59052,119485,178769,2658092
"2019Q1",415798,1546929,215951,330293,61659,33837,93944,2687451
"2019Q2",404384,1556044,221482,325784,55688,209100,270488,2687701
"Table information:"
"Units:"
"$, Magnitude = Thousands"
""
"Footnotes:"
"From the September 2002 quarter, this series includes dividends only.  Insurance claims and bad debts recovered are classified as non-operating items."
"From the September 2002 quarter, investment income includes only interest revenue and dividends."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"LAS003AA"
""
"Last updated:"
"05 September 2019 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
