"CPI Subgroups by Regions (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","",""
"","New Zealand","","","","","","","","","","","","","","","","","","",""
" ","Fruit and Vegetables","Meat, Fish and Poultry","Grocery Food, Soft Drinks & Confectionery","Restaurant Meals and Ready-to-Eat Food","Dwelling Rentals**","Home Ownership","Energy","Household Appliances and Furnishings","Household Supplies and Services","Clothing","Footwear","Public Transport","Private Transport","Tobacco Products","Alcoholic Drinks","Personal Goods and Services","Health Care","Stationery, Books, Magazines & Newspapers","Leisure and Recreation","Education and Child Care"
"1983Q3",679.491203,542.708991,"..","..",352.785486,"..",427.334225,652.014092,524.480285,525.367205,585.827102,671.735148,"..",244.439142,473.073251,"..","..","..","..",".."
"1983Q4",694.981124,556.340614,"..","..",355.626365,"..",425.308944,657.209423,523.642457,538.621882,597.925200,669.926978,"..",251.045605,478.252885,"..","..","..","..",".."
"1984Q1",689.421275,551.333548,512.967726,443.603637,364.872650,"..",425.308944,659.181051,524.166099,539.699126,598.523125,669.926978,"..",251.547696,479.209391,"..","..","..","..",".."
"1984Q2",704.710860,554.671592,520.662406,472.965503,375.897068,"..",436.366977,662.467098,528.355239,545.085345,609.883704,671.936759,"..",252.049787,488.774448,"..","..","..","..",".."
"1984Q3",697.761049,568.580107,541.604842,484.611955,382.653968,"..",437.217595,678.897334,533.591664,549.394320,614.069180,701.413546,"..",252.300833,506.469805,"..","..","..","..",".."
"1984Q4",716.525539,588.608370,557.256135,495.229126,396.879023,"..",438.918831,698.613617,541.446300,566.630220,632.604861,712.132378,"..",265.104159,520.339139,"..","..","..","..",".."
"1985Q1",770.734067,606.967610,588.129941,519.059038,413.237836,"..",444.873156,725.559203,557.679217,577.941279,644.563365,731.560260,"..",298.995315,568.642680,"..","..","..","..",".."
"1985Q2",818.687764,620.319785,616.562991,545.705938,488.274999,"..",536.739888,749.875952,571.293921,610.258592,673.861700,752.997923,"..",308.032957,598.772612,"..","..","..","..",".."
"1985Q3",773.513991,637.566344,643.874843,561.462169,511.746339,"..",538.015815,780.107585,593.286904,622.108274,684.026428,779.795002,"..",312.802824,600.685623,"..","..","..","..",".."
"1985Q4",752.664558,629.221234,662.755059,576.334493,542.685833,"..",538.015815,794.566192,611.090747,647.423502,714.520613,795.873250,"..",323.095694,603.076888,"..","..","..","..",".."
"1986Q1",841.622142,628.664894,670.125258,593.706366,554.065876,"..",542.694213,801.795496,624.181809,652.271099,724.087417,811.951497,"..",323.095694,614.554957,"..","..","..","..",".."
"1986Q2",877.066179,607.523950,686.709325,619.147515,579.670974,"..",603.513392,828.741082,674.975127,686.742900,752.189901,840.088430,"..",323.095694,622.207003,"..","..","..","..",".."
"1986Q3",894.440707,605.854929,702.722450,637.423650,595.674161,"..",602.662774,849.771784,710.582814,693.206362,758.767078,864.205802,"..",434.057851,648.510912,"..","..","..","..",".."
"1986Q4",996.602932,712.115986,766.059440,723.284121,617.011743,"..",664.332571,922.064821,776.561764,761.072719,822.147149,887.653246,"..",504.852712,722.640109,"..","..","..","..",".."
"1987Q1",947.954254,718.792073,773.919262,741.646750,635.504314,"..",669.436279,934.551800,795.412892,770.767913,830.518102,811.951497,"..",505.103757,736.509443,"..","..","..","..",".."
"1987Q2",1013.977460,726.580842,781.594982,765.679614,652.218753,"..",734.933856,953.610873,810.598523,825.707345,860.414362,834.059088,"..",512.384080,757.074317,"..","..","..","..",".."
"1987Q3",992.433046,736.594973,794.152879,781.526494,683.869499,"..",736.635092,959.525758,825.784155,830.554942,863.403988,798.552958,"..",512.635125,788.639007,"..","..","..","..",".."
"1987Q4",932.664669,746.052763,807.676862,798.565822,721.565894,"..",731.956693,956.239711,831.020579,845.097733,880.743819,786.494272,"..",527.948907,801.551835,"..","..","..","..",".."
"1988Q1",1023.707196,746.609104,821.035950,815.147752,758.195410,"..",711.967173,949.010407,837.304289,848.868086,886.125146,824.010183,"..",528.199953,818.768939,"..","..","..","..",".."
"1988Q2",1089.730403,742.158379,827.619614,826.385697,786.645519,"..",780.441913,949.667616,846.729853,866.642608,910.042154,827.359818,"..",537.990731,827.855744,"..","..","..","..",".."
"1988Q3",1064.016101,753.285191,840.640077,836.533468,817.585012,"..",794.902417,947.695988,850.395350,868.797096,910.042154,831.379380,"..",575.898618,839.812066,"..","..","..","..",".."
"1988Q4",1095.290252,772.200772,853.242321,847.457627,847.457627,819.277157,796.178344,949.667616,884.955752,884.955752,926.784059,847.457627,897.236136,593.471810,844.594595,813.669650,609.756098,763.358779,869.565217,500.250125
"1989Q1",1054.764513,793.050193,861.774744,857.627119,853.389831,831.537103,793.789809,950.617284,891.150442,883.185841,926.784059,870.338983,901.026656,638.575668,854.729730,817.737998,655.487805,771.755725,879.130435,516.758379
"1989Q2",1058.050383,812.355212,887.372014,869.491525,866.949153,841.011772,800.955414,956.315290,881.415929,888.495575,936.978684,872.881356,906.080810,693.175074,858.108108,829.129373,668.292683,778.625954,886.956522,567.283642
"1989Q3",1200.438116,894.980695,926.621160,904.237288,883.898305,865.784467,819.267516,978.157645,925.663717,898.230088,955.514365,893.220339,912.032200,729.376855,898.648649,866.558177,704.268293,823.664122,911.304348,572.286143
"1989Q4",1148.959474,959.073359,936.006826,922.033898,891.525424,875.361269,820.063694,990.503324,948.672566,909.734513,971.269694,905.084746,919.741309,748.961424,913.851351,879.576892,710.365854,836.641221,913.043478,580.290145
"1990Q1",1076.670318,949.806950,950.511945,933.898305,900.847458,889.473403,823.248408,991.452991,959.292035,913.274336,974.050046,905.932203,926.571368,758.456973,926.520270,895.036615,721.341463,845.038168,929.565217,672.336168
"1990Q2",1138.006572,953.667954,971.843003,946.610169,916.101695,921.363430,828.025478,988.603989,963.716814,938.938053,981.464319,933.898305,925.838953,778.041543,936.655405,908.055330,731.707317,854.961832,932.173913,872.436218
"1990Q3",1157.721796,965.250965,984.641638,956.779661,931.355932,934.841780,832.802548,985.754986,970.796460,935.398230,974.976830,956.779661,924.630260,786.943620,948.479730,917.005696,744.512195,868.702290,939.130435,873.936968
"1990Q4",1143.483023,965.250965,982.081911,964.406780,941.525424,936.303640,854.299363,989.553656,977.876106,955.752212,981.464319,982.203390,971.030785,806.528190,945.101351,930.838080,732.926829,884.732824,948.695652,874.937469
"1991Q1",1112.814896,959.845560,988.054608,975.423729,945.762712,943.646695,875.000000,996.201330,999.115044,961.061947,981.464319,996.610169,953.159189,816.023739,957.770270,939.788446,793.902439,890.839695,963.478261,902.951476
"1991Q2",1069.003286,952.123552,994.027304,979.661017,949.152542,944.563604,882.165605,994.301994,983.185841,973.451327,992.585728,1019.491525,934.463865,836.795252,958.614865,946.297803,835.365854,916.793893,966.086957,916.958479
"1991Q3",1112.814896,949.806950,994.027304,982.203390,961.016949,940.884822,884.554140,980.056980,1007.079646,967.256637,992.585728,1026.271186,937.797055,928.783383,972.972973,947.925142,843.292683,927.480916,970.434783,918.459230
"1991Q4",1115.005476,938.996139,976.109215,983.898305,947.457627,937.740852,898.089172,981.956315,992.035398,973.451327,998.146432,1011.864407,959.331103,973.293769,977.195946,944.670464,847.560976,956.488550,969.565217,920.460230
"1992Q1",1069.003286,938.996139,982.935154,986.440678,948.305085,934.215823,916.401274,981.956315,997.345133,976.106195,985.171455,1034.745763,961.125576,973.887240,976.351351,946.297803,1048.170732,941.221374,973.913043,923.461731
"1992Q2",1050.383352,938.223938,983.788396,989.830508,953.389831,937.850463,918.789809,991.452991,999.115044,985.840708,1000.926784,1041.525424,964.329936,975.667656,975.506757,955.248169,1065.243902,964.885496,981.739130,894.947474
"1992Q3",1122.672508,958.301158,990.614334,994.067797,955.084746,938.369347,924.363057,992.402659,1001.769912,982.300885,1000.926784,1005.932203,981.267922,982.789318,974.662162,967.453214,1065.853659,982.442748,985.217391,894.947474
"1992Q4",1088.718510,989.961390,989.761092,994.915254,955.932203,942.867473,929.140127,993.352327,1003.539823,983.185841,1008.341057,980.508475,997.729630,985.163205,985.641892,976.403580,1068.292683,986.259542,992.173913,898.449225
"1993Q1",1159.912377,989.961390,992.320819,993.220339,964.406780,945.343755,935.509554,994.301994,1002.654867,980.530973,989.805375,966.101695,1005.127281,991.691395,989.864865,979.658259,1042.073171,962.595420,993.043478,908.454227
"1993Q2",1002.190581,987.644788,997.440273,997.457627,975.423729,966.142806,972.929936,1001.899335,994.690265,997.345133,1012.048193,990.677966,1009.356946,994.065282,991.554054,984.540277,998.170732,987.786260,998.260870,996.498249
"1993Q3",1046.002191,1002.316602,995.733788,1000.847458,988.983051,988.617829,992.834395,1003.798670,999.115044,992.920354,993.512512,991.525424,999.120950,1000.000000,995.777027,995.117982,1001.829268,996.183206,995.652174,996.998499
"1993Q4",1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
"1994Q1",1062.000000,982.000000,997.000000,1002.000000,1029.000000,1006.000000,1013.000000,1000.000000,990.000000,990.000000,987.000000,970.000000,992.000000,999.000000,1002.000000,999.000000,1011.000000,965.000000,1002.000000,1093.000000
"1994Q2",1018.000000,966.000000,992.000000,1004.000000,1086.000000,1014.000000,1034.000000,1004.000000,981.000000,992.000000,998.000000,1014.000000,993.000000,999.000000,1010.000000,1001.000000,1016.000000,995.000000,1004.000000,1094.000000
"1994Q3",1029.000000,958.000000,998.000000,1009.000000,1131.000000,1041.000000,1046.000000,1003.000000,982.000000,986.000000,991.000000,1025.000000,999.000000,1000.000000,1013.000000,1000.000000,1025.000000,997.000000,1009.000000,1095.000000
"1994Q4",1071.000000,960.000000,1000.000000,1014.000000,1135.000000,1060.000000,1049.000000,1007.000000,976.000000,987.000000,1015.000000,1036.000000,1004.000000,1003.000000,1021.000000,997.000000,1030.000000,1015.000000,1018.000000,1095.000000
"1995Q1",1145.000000,933.000000,1004.000000,1019.000000,1157.000000,1075.000000,1053.000000,1001.000000,978.000000,978.000000,992.000000,1012.000000,998.000000,1013.000000,1027.000000,1003.000000,1034.000000,996.000000,1027.000000,1147.000000
"1995Q2",1219.000000,921.000000,1001.000000,1024.000000,1171.000000,1082.000000,1078.000000,996.000000,975.000000,984.000000,999.000000,1055.000000,995.000000,1018.000000,1043.000000,1005.000000,1039.000000,1020.000000,1030.000000,1151.000000
"1995Q3",1149.000000,898.000000,997.000000,1031.000000,1221.000000,1093.000000,1102.000000,994.000000,973.000000,972.000000,995.000000,1078.000000,988.000000,1032.000000,1049.000000,1005.000000,1046.000000,1048.000000,1037.000000,1155.000000
"1995Q4",1130.000000,916.000000,1013.000000,1030.000000,1232.000000,1106.000000,1106.000000,990.000000,973.000000,975.000000,988.000000,1057.000000,991.000000,1036.000000,1060.000000,1012.000000,1055.000000,1081.000000,1036.000000,1155.000000
"1996Q1",1080.000000,903.000000,1029.000000,1035.000000,1252.000000,1120.000000,1119.000000,981.000000,980.000000,973.000000,965.000000,1010.000000,997.000000,1086.000000,1062.000000,1021.000000,1066.000000,1062.000000,1045.000000,1268.000000
"1996Q2",1086.000000,902.000000,1043.000000,1043.000000,1259.000000,1138.000000,1142.000000,977.000000,987.000000,980.000000,974.000000,1034.000000,994.000000,1095.000000,1064.000000,1030.000000,1078.000000,1108.000000,1036.000000,1272.000000
"1996Q3",1099.000000,915.000000,1049.000000,1047.000000,1279.000000,1141.000000,1153.000000,965.000000,990.000000,974.000000,956.000000,1012.000000,993.000000,1103.000000,1080.000000,1027.000000,1087.000000,1120.000000,1043.000000,1274.000000
"1996Q4",1109.000000,923.000000,1055.000000,1050.000000,1291.000000,1148.000000,1159.000000,962.000000,1001.000000,980.000000,970.000000,1055.000000,991.000000,1112.000000,1086.000000,1031.000000,1120.000000,1120.000000,1039.000000,1276.000000
"1997Q1",1131.000000,931.000000,1058.000000,1056.000000,1302.000000,1150.000000,1170.000000,961.000000,1002.000000,972.000000,945.000000,1009.000000,989.000000,1135.000000,1089.000000,1033.000000,1127.000000,1066.000000,1040.000000,1390.000000
"1997Q2",1143.000000,926.000000,1063.000000,1061.000000,1315.000000,1157.000000,1194.000000,951.000000,1007.000000,976.000000,952.000000,1027.000000,972.000000,1136.000000,1095.000000,1037.000000,1135.000000,1111.000000,1036.000000,1396.000000
"1997Q3",1110.000000,935.000000,1072.000000,1067.000000,1339.000000,1173.000000,1207.000000,942.000000,1026.000000,979.000000,948.000000,1041.000000,962.000000,1152.000000,1113.000000,1046.000000,1124.000000,1124.000000,1043.000000,1396.000000
"1997Q4",1085.000000,936.000000,1074.000000,1073.000000,1346.000000,1190.000000,1206.000000,938.000000,1014.000000,981.000000,944.000000,1050.000000,979.000000,1164.000000,1111.000000,1041.000000,1144.000000,1141.000000,1046.000000,1397.000000
"1998Q1",1180.000000,943.000000,1082.000000,1077.000000,1354.000000,1195.000000,1225.000000,934.000000,990.000000,979.000000,927.000000,1008.000000,973.000000,1178.000000,1111.000000,1043.000000,1150.000000,1103.000000,1045.000000,1475.000000
"1998Q2",1178.000000,960.000000,1090.000000,1082.000000,1365.000000,1201.000000,1235.000000,934.000000,971.000000,988.000000,930.000000,1019.000000,956.000000,1228.000000,1111.000000,1047.000000,1158.000000,1143.000000,1060.000000,1484.000000
"1998Q3",1214.000000,984.000000,1101.000000,1087.000000,1371.000000,1193.000000,1241.000000,946.000000,989.000000,985.000000,927.000000,998.000000,946.000000,1323.000000,1121.000000,1047.000000,1163.000000,1177.000000,1066.000000,1487.000000
"1998Q4",1171.000000,991.000000,1112.000000,1092.000000,1362.000000,1183.000000,1220.000000,953.000000,990.000000,998.000000,930.000000,1027.000000,935.000000,1329.000000,1122.000000,1049.000000,1169.000000,1185.000000,1075.000000,1487.000000
"1999Q1",1237.000000,982.000000,1116.000000,1095.000000,1340.000000,1177.000000,1218.000000,954.000000,995.000000,993.000000,932.000000,1018.000000,934.000000,1345.000000,1124.000000,1055.000000,1176.000000,1148.000000,1079.000000,1613.000000
"1999Q2",1202.000000,984.000000,1108.000000,1100.000000,1342.000000,1184.000000,1259.000000,960.000000,996.000000,1008.000000,953.000000,1054.000000,934.000000,1345.000000,1131.000000,1045.000000,1182.000000,1209.000000,1079.000000,1614.000000
"Table information:"
"Units:"
"Index, Magnitude = Units"
""
"Footnotes:"
"Base: December 1993 quarter (=1000)."
"Symbol: ..  figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"CPX007AA"
""
"Last updated:"
"15 July 1999 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
